pose_id,pose,right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder
18364,squat,-24.39429092,26.74024844193823,-18.53906202,187.0309468704124,170.65008680516632,-184.4159918,-175.4327983
18365,squat,-25.57507529,33.674358791914415,-21.2666816,187.53623147215475,178.47223629489534,-181.9427796,-180.707971
18366,squat,-25.28782225,34.813889617554736,-24.94618936,187.07560093199584,184.2982461892841,-176.4806698,-180.5194019
18367,squat,-25.35957537,41.51530351837888,-29.23064568,190.1093993,189.21504196089148,-172.3941328,-185.9510833
18368,squat,-22.80039251,46.01830258455821,-33.73610523,189.22441107942075,194.56262974058623,-175.2983741,-188.6368465
18369,squat,-21.60225325,50.537804462011934,-39.12600208,189.78383480416204,203.49684541703988,-174.1483096,-188.7418927
18370,squat,-20.26424522,51.93661549379736,-43.79670068,185.1048151631017,208.0296868222874,-170.4826008,-189.032543
18371,squat,-20.27285978,54.68090500086513,-49.1046429,176.32656804871857,208.78129779840535,-169.1282593,-189.923157
18372,squat,-19.57591302,53.39589303049627,-47.88668322,177.34024916716157,207.8308695,-173.9076266,-187.9327599
18373,squat,-18.62298901,48.82511606,-43.03484971,177.97922208707638,202.09235240484836,-174.7343239,-182.6060097
18374,squat,-18.07700176,49.46097438,-37.75209387,190.55458537817705,198.73488701901252,-176.0004122,-186.3143802
18375,squat,-18.58476942,44.822534284009926,-33.14636239,191.0558748384724,193.97166248141028,-174.8144108,-183.0384301
18376,squat,-19.67419426,42.18213122696259,-28.28552094,190.37597060619123,188.8882716560248,-174.6579423,-183.3931688
18377,squat,-21.34537921,39.28657212080946,-22.42435772,189.1251901,178.57607766566227,-176.9124073,-181.4160074
18378,squat,-22.4047707,36.64933462,-19.38177354,189.3219323851387,173.31911382364365,-178.8403036,-178.6773702
18379,squat,-23.30122153,33.31173351038227,-17.79999784,189.2171650079522,170.87708327816514,-180.4138071,-179.5519754
18380,squat,-23.92712354,26.282196995170803,-18.08297813,188.9512195117099,170.83632987902183,-181.5229686,-172.2383033
18381,squat,-23.69623874,23.286443015271303,-17.90121321,188.7526780173301,170.25570337720254,-181.4135065,-173.9898499
18382,squat,-23.50768566,20.55894044592817,-17.69398852,188.07886204443872,169.61974095859298,-179.7774421,-173.1629028
18383,squat,-22.87120753,20.09773432694561,-18.06106051,187.66912886179665,170.4576235450798,-179.8443247,-172.9600454
18384,squat,-23.19968166,20.121738965522507,-18.18485143,187.2152823573696,171.0481393595478,-178.9798675,-173.0811368
18385,squat,-26.77915799,21.15657710504657,-18.46977987,186.4281842725445,171.3163896283327,-179.6260111,-173.721699
18386,squat,-29.96462677,22.08021966810337,-18.4898055,185.93407650864052,170.91288629295678,-179.2159938,-170.4448792
18387,squat,-30.99994388,24.50362384910532,-18.50917231,186.1771129543514,171.4389720247736,-179.8046978,-169.106304
18388,squat,-31.47566605,28.65569037803614,-18.51408405,186.54979654191808,171.7415580245625,-179.6075248,-170.6265079
18389,squat,-29.98875806,32.631223897379506,-18.70120623,186.4364573396972,172.01817690710715,-178.9234747,-175.1881145
18390,squat,-31.1975931,40.06220876298372,-20.69339135,186.4834580207609,177.07438365423278,-177.1049545,-184.0629513
18391,squat,-30.41019476,40.05887572777845,-23.9448361,187.42658574419823,183.2605737076843,-177.5538053,-182.7705188
18392,squat,-29.02606162,43.24616794938336,-28.46859473,189.38105301979056,189.46788110396432,-176.6208423,-185.1155392
18393,squat,-26.68516183,46.81486655282552,-33.08440874,188.68653190629945,196.59936131830176,-176.5535135,-187.7826444
18394,squat,-24.63373575,49.29189126812708,-36.77376814,188.6856307231412,198.33250626558936,-177.5110663,-187.3699892
18395,squat,-22.45737872,51.394006971876735,-38.07014022,190.36357521658587,201.71104014798888,-173.7070205,-185.6780414
18396,squat,-23.23276889,50.921773031484136,-41.94417049,190.5354247238688,205.28707916078437,-171.5431344,-183.1223554
18397,squat,-21.63704767,49.642185007513405,-47.96693368,183.1756072399844,208.6528961543044,-170.9995515,-181.2076903
18398,squat,-21.09544675,50.08759914622024,-48.39189434,184.7508029436733,208.7436005451019,-173.6195259,-181.4575975
18399,squat,-21.49942799,50.647964574140126,-48.85796085,181.1639713730141,207.8407492883044,-170.7864917,-181.1029976
18400,squat,-20.50768476,48.20848346545795,-48.25863271,177.8929925,205.0427290673317,-170.7628982,-179.8489634
18401,squat,-21.25946428,48.75953220268525,-38.36521621,185.3363795886612,196.6993615830421,-169.7086072,-179.5996432
18402,squat,-20.50272509,46.30210882002433,-32.24882535,187.8440066836473,189.92479308121327,-171.2272816,-176.7088927
18403,squat,-21.55318279,44.22975987550948,-31.33171988,185.4633037130278,188.3953867552155,-170.1050722,-174.6798002
18404,squat,-22.27964466,42.11136241504703,-23.86205638,186.0874108103916,178.99155458196842,-171.0950271,-174.094539
18405,squat,-24.0387642,39.75618524644612,-20.22973258,186.96732657508588,172.6305179968772,-171.4163613,-170.4735461
18406,squat,-25.18612793,37.95552064841813,-19.30503113,187.46248699862872,172.07160848804685,-172.6353161,-171.2619528
18407,squat,-24.54990711,33.16332886486964,-18.90637447,187.2996322948981,171.6524058890049,-175.7668981,-167.4511441
18408,squat,-24.34194371,26.565573389009757,-18.43889319,187.3882198939903,170.68775368481312,-176.7352201,-163.4995551
18409,squat,-23.68796719,23.27110224,-18.63643178,186.89576540704616,170.08372390086123,-176.8155191,-164.7107824
18410,squat,-22.35609614,21.829195102100744,-18.46568726,186.4042124847942,169.71635618190516,-177.9258495,-167.5406131
18411,squat,-21.4497381,19.062891410030257,-18.21253058,186.30409390506676,169.73936673890964,-177.1656775,-166.5766536
18412,squat,-20.55275038,17.64838979025956,-18.17335348,185.9803552535791,169.8342747240056,-176.5298292,-166.482769
18413,squat,-20.22323218,18.15334630908287,-18.41877228,185.9902479967579,170.53632245343826,-177.4655677,-166.5629491
18414,squat,-19.65914695,19.22323842136796,-18.40319596,186.6400489269432,170.7931577998448,-180.7172221,-168.0201336
18415,squat,-19.30400023,20.62205174630196,-18.42225595,187.03976512280863,170.71340834734147,-181.6961479,-169.0186876
18416,squat,-19.31259754,21.31504361,-18.32170537,187.66080031283732,171.15056052234522,-181.9653221,-168.5270173
18417,squat,-20.14563632,24.256221222041084,-18.9883038,186.3417517,172.22157599870124,-178.9026917,-173.1308399
18418,squat,-20.08735933,27.14990817450151,-21.82245411,186.75378997096385,177.9609052129438,-175.9472743,-176.149644
18419,squat,-21.91726716,29.563162391502654,-25.86610392,187.5237584,182.9104895107672,-172.7623169,-180.3340501
18420,squat,-21.65048119,33.91440804493441,-31.74610675,187.8270572726452,190.3391910992717,-173.2004184,-184.9487
18421,squat,-20.1232595,38.89255559,-37.42494006,187.97285216522548,201.929801,-173.8312002,-189.3000472
18422,squat,-20.01900121,41.68784630653376,-42.42818301,186.0093435672929,206.14280558598887,-171.1754517,-189.8908408
18423,squat,-20.22910371,43.88827605371281,-44.3265379,182.69464423435903,205.72983423913809,-171.924919,-191.394865
18424,squat,-21.10034146,44.071164966311215,-46.78424921,184.7418535742396,207.3466549,-169.4727793,-194.7206808
18425,squat,-21.64211328,45.73625888119052,-44.0949977,180.12633177418948,206.78088542969587,-168.8098558,-193.9274881
18426,squat,-20.15905659,43.34856566765918,-40.96010271,181.9839856525973,205.32284102130484,-170.8655904,-192.3236855
18427,squat,-21.70542935,41.512592901021954,-36.68125207,185.21664405154465,198.2243519,-173.1018224,-194.4380493
18428,squat,-21.7836266,40.48501761205811,-31.59400516,186.50674037969023,190.23091050546876,-175.9189055,-193.9933159
18429,squat,-22.76291131,38.57251501988175,-28.03406754,186.1973229086068,185.18170840070005,-178.2702513,-195.1545684
18430,squat,-25.41988675,35.40209156268825,-22.01590803,186.84625073233835,175.37573640899004,-178.4242196,-193.9759655
18431,squat,-26.11180551,32.95589887556532,-20.10776114,187.2045662,173.31425575603876,-183.586191,-193.714878
